text,intent,intent_label
how would you say fly in italian,61,translate
what's the spanish word for pasta,61,translate
how would they say butter in zambia,61,translate
how do you say fast in spanish,61,translate
what's the word for trees in norway,61,translate
how does one say wonderful in german,61,translate
how do they say tacos in mexico,61,translate
how would one say cruiser in china,61,translate
what's the french word you use for potato,61,translate
what would the word for grass be in finland,61,translate
how do you say please in french,61,translate
how would i say nice to meet you if i were russian,61,translate
what is the right way to say excuse me in spanish,61,translate
how do i say i'm sorry in chinese,61,translate
how would i say thank you if i were mexican,61,translate
how would i say what is your name if i were french,61,translate
how would i say i must be going now if i were german,61,translate
how do i say bathroom in italian,61,translate
how might i say hello if i were scottish,61,translate
i must know how to say thank you in german,61,translate
how would i say i love you if i were german,61,translate
how would i say how are you today if i were mexican,61,translate
how would i say where is the bathroom if i were korean,61,translate
how would i say i need directions if i were french,61,translate
how would i say i am lost if i were japanese,61,translate
english to spanish for dog,61,translate
what is dog in spanish,61,translate
how do you say dog in spanish,61,translate
dog in spanish,61,translate
what's the spanish word for dog,61,translate
can you please provide me with assistance in moving money from one account to another,133,transfer
i would like help moving money between accounts,133,transfer
can you assist me in moving money from one account to another,133,transfer
i would like help moving money from one account to another,133,transfer
i would like assistance moving money from one account to another,133,transfer
can i move some money around,133,transfer
can i make a transfer between my accounts,133,transfer
i need to make a transfer of my money,133,transfer
can i move some money between my two accounts,133,transfer
i would like to distribute some money between my accounts,133,transfer
i would like to transfer $100 from my checking to saving account,133,transfer
help me transfer $100 from my checking to saving account,133,transfer
transfer $100 from my checking to saving account,133,transfer
can you please help me move $100 from my checking to saving account,133,transfer
please move $100 from my checking to saving account,133,transfer
"transfer seventeen dollars from rbs to woodforest account, please",133,transfer
"send twelve dollars between cabelas and bank of london accounts, please",133,transfer
"transfer ninety dollars between glacier checking and farmers accounts, please",133,transfer
transfer seventy dollars between national and citizens accounts,133,transfer
transfer four and sixty seven dollars from bank of oklahoma checking to security bank account,133,transfer
how much money can i transfer today,133,transfer
add funds to the retirement account from the pnc account only,133,transfer
would you move 100 dollars from the checking and put it into savings,133,transfer
repeat what the weather will be like,133,transfer
i would like to put 100 dollars from the checking into the savings account now,133,transfer
please transfer $5000 to money market from checking account,133,transfer
i need $360 transfered from savings to checking account,133,transfer
make an immediate transfer of ten thousand from money market to checking,133,transfer
i'd like to transfer $400 from household to savings account,133,transfer
transer $800 from my checking to savings account,133,transfer
set a 4 minute timer,32,timer
set a 2 minute timer,32,timer
set a 3 minute timer,32,timer
set a 5 minute timer,32,timer
set a 1 minute timer,32,timer
who set up the numbers for it,32,timer
start the timer,32,timer
start a timer please,32,timer
i need to start a timer,32,timer
i need a timer to be set,32,timer
could you set a timer,32,timer
set a timer,32,timer
i need to have a timer for 10 minutes,32,timer
make a 10 minute timer,32,timer
give me a 10 minute timer,32,timer
will you create a timer for me,32,timer
please begin a timer,32,timer
is it possible to set a timer,32,timer
i want a timer set for 10 minutes,32,timer
set a timer for 10 minutes,32,timer
can i get a timer set,32,timer
i need to use a timer,32,timer
set a timer to go off in 1 hour,32,timer
i need a timer for 45 minutes,32,timer
in 15 minutes the timer should go off,32,timer
start the timer now,32,timer
set a timer for 30 minutes,32,timer
set a timer for 5 minutes from now,32,timer
let me know when it's been 5 minutes,32,timer
can you set the timer to 20 minutes,32,timer
define antebellum,139,definition
define discontent,139,definition
what is the meaning of incandescent,139,definition
what does confrontation mean,139,definition
what does serendipity mean,139,definition
what's the definition of luminescent,139,definition
what is the definiton of auspicious,139,definition
what does circuitous mean,139,definition
what's the definition of unencumbered,139,definition
what does adulation mean,139,definition
what does assiduous mean,139,definition
what does amicable mean,139,definition
what's the definition of remunerative,139,definition
what does anachronistic mean,139,definition
what's the definition of idiosyncratic,139,definition
what does yolo mean,139,definition
can you tell me the meaning of fluctuate,139,definition
what does the word polynomial mean,139,definition
what does ferrari mean,139,definition
what is the meaning of the word girn,139,definition
what does mature mean,139,definition
i'd like to know what bitcoin means,139,definition
"i heard some woman say she was going to yerd me, what's that mean",139,definition
can you tell me what obsolescence means,139,definition
please explain the word catastrophic to me,139,definition
what's the meaning of naff,139,definition
can you tell me what dendrofilous means,139,definition
what does peer-to-peer actually mean,139,definition
define epicurean,139,definition
what does epicurean mean,139,definition
would you let me know what the meaning is life is,22,meaning_of_life
would you let me know what is the point of life,22,meaning_of_life
"right now, i need to know the meaning of life",22,meaning_of_life
define the meaning of life for me,22,meaning_of_life
i want to know the meaning of life,22,meaning_of_life
would you explain the meaning of life,22,meaning_of_life
i need you to tell me the meaning of life,22,meaning_of_life
i need to know what the meaning of life is now,22,meaning_of_life
tell me what the meaning of life is,22,meaning_of_life
i need to know what the point of life is,22,meaning_of_life
let me know what the point of life is,22,meaning_of_life
would you provide me with what the point of life is,22,meaning_of_life
tell me what the point of life is,22,meaning_of_life
what is the reason humans even exist,22,meaning_of_life
do you think our lives have purpose or meaning,22,meaning_of_life
can you tell me about the meaning of life,22,meaning_of_life
can you tell me what the meaning of life is,22,meaning_of_life
what do you know about the meaning of life,22,meaning_of_life
i would like information on the meaning of life,22,meaning_of_life
what information can you give me on the meaning of life,22,meaning_of_life
what is the core meaning of life,22,meaning_of_life
what do you know about lifes meaning,22,meaning_of_life
is there any consensun regarding lifes true meaning,22,meaning_of_life
is there a reason beyond biology about why humans are alive,22,meaning_of_life
do you think being alive has any meaning,22,meaning_of_life
is there meaning to life,22,meaning_of_life
is there meaning in life,22,meaning_of_life
what is the answer to life,22,meaning_of_life
what's the answer to it all,22,meaning_of_life
what's life mean to you,22,meaning_of_life
i would like to change my insurance policy,64,insurance_change
can i edit my insurance policy,64,insurance_change
i am interested in a new insurance plan,64,insurance_change
i really would like to get a new insurance plan,64,insurance_change
i am in the market for a new insurance plan,64,insurance_change
is there a way to alter my insurance policy,64,insurance_change
how can i change to new insurance plan,64,insurance_change
help me find a new insurance plan,64,insurance_change
can i update my insurance policy,64,insurance_change
who do i contact about updating my insurance,64,insurance_change
can you help me change my insurance policy,64,insurance_change
"i need to change my insurance policy, do you know how",64,insurance_change
what are the steps to change my insurance policy,64,insurance_change
do you know how i can change my insurance policy,64,insurance_change
how to i change the policy on my insurace,64,insurance_change
what do i need to do to get new insurance,64,insurance_change
do you know how i get new insurance,64,insurance_change
what is the protocol for getting new insurance,64,insurance_change
let me know the process for new insurance,64,insurance_change
i want to sign up for a new allstate insurance plan,64,insurance_change
i need to sign up for a new allstate plan,64,insurance_change
what is the procedure for signing up for a new allstate plan,64,insurance_change
how do i sign up for a new allstatedplan,64,insurance_change
i want to change to a new allstate insurance plan,64,insurance_change
i want a new insurance plan,64,insurance_change
what if i want to switch insurance plans,64,insurance_change
is there a way to get a new insurance plan,64,insurance_change
i want to switch to a new insurance plan,64,insurance_change
how do i switch insurance plans,64,insurance_change
phone number to state farm to change insurance,64,insurance_change
"can you help me find my phone, please",81,find_phone
could you help me locate my phone,81,find_phone
can you help me locate my phone,81,find_phone
"could you help me locate my phone, please",81,find_phone
"can you help me locate my phone, please",81,find_phone
"i cannot locate my phone, can you help me",81,find_phone
i need help locating my phone,81,find_phone
can you assist me with finding my phone,81,find_phone
i lost my phone can you help me,81,find_phone
where the bleep did i put my bleeping phone,81,find_phone
is my phone somewhere around here,81,find_phone
"help, i've lost my cellphone!",81,find_phone
i seem to have lost my phone,81,find_phone
do you know my phone's location,81,find_phone
can you find my phone,81,find_phone
where's my phone at,81,find_phone
what's my phone's location,81,find_phone
can you help me hunt for my missing cellphone,81,find_phone
locate my cellphone in this room,81,find_phone
where did i last put my phone,81,find_phone
find my cellphone for me!,81,find_phone
where did i place my phone,81,find_phone
where's my phone,81,find_phone
my phone isn't where i left it,81,find_phone
i think i've misplaced my phone,81,find_phone
i've lost my phone somewhere,81,find_phone
i think i lost my phone,81,find_phone
would you know where to find my phone,81,find_phone
please assist me in looking for my phone,81,find_phone
look for my phone with me,81,find_phone
is there a travel alert in spain,128,travel_alert
travel alert in cuba,128,travel_alert
alerts for travel in colombia,128,travel_alert
are there travel alerts in mexico,128,travel_alert
mexico travel alerts,128,travel_alert
have there been any travel alerts for the us,128,travel_alert
are there any travel advisories for the us,128,travel_alert
what are the travel alerts for the us,128,travel_alert
are there travel alerts for the us,128,travel_alert
what travel alerts are in effect for the us,128,travel_alert
i want to know if i will be safe if i travel to europe,128,travel_alert
would i be safe if i traveled to japan,128,travel_alert
is it safe to go to north korea,128,travel_alert
will i be safe going to south america,128,travel_alert
am i safe to go to africa,128,travel_alert
which countries have travel alerts,128,travel_alert
is it safe in italy,128,travel_alert
what are the travel conditions for haiti,128,travel_alert
are there any travel bulletins about haiti,128,travel_alert
note any travel alerts for haiti,128,travel_alert
find travel alerts for haiti,128,travel_alert
does the state department say anything about traveling to haiti,128,travel_alert
is there a travel alert for france,128,travel_alert
is it safe for me to go to turkey,128,travel_alert
is it safe to go to serbia,128,travel_alert
safety concerns for malaysia,128,travel_alert
is it safe for me to visit malawi,128,travel_alert
is travel to monterrey safe now,128,travel_alert
is it safe for people to travel to pakistan,128,travel_alert
can people safely travel to cambodia,128,travel_alert
please help me set up a vacation request,97,pto_request
how does one go about putting in a vacation request,97,pto_request
how do i put in a vacation request,97,pto_request
walk me through on how to make a vacation request,97,pto_request
please put in a vacation request,97,pto_request
how is a vacation request done,97,pto_request
how is a vacation request made,97,pto_request
what is the process of making a vacation request,97,pto_request
how would one make a vacation request,97,pto_request
can i put in a pto request for september 1st to september 8th,97,pto_request
"if i want to make a vacation request, how do i do it",97,pto_request
can i put in a pto request for august 1st to august 10th,97,pto_request
can i put in a pto request for january 4th to january 9th,97,pto_request
can i put in a pto request for december 3rd to december 10th,97,pto_request
can i put in a pto request for december 25th to january 1st,97,pto_request
can i take pto from the end of the month to the 5th of the next month,97,pto_request
can you help me plan a vacation,97,pto_request
it it possible to take pto from the 8th to the 11th,97,pto_request
is it ok if i use some of my pto on may 24th to may 29th,97,pto_request
what do i do to set up a vacation,97,pto_request
i need to use pto on october 5th to october 10th,97,pto_request
how do i plan a vacation,97,pto_request
can i put in a pto request for monday to wednesday,97,pto_request
can i purchase a vacation using this,97,pto_request
how do i get help with a vacation itinerary,97,pto_request
how do i request a vacation,97,pto_request
i'd like to request a vacation,97,pto_request
i need to request a vacation,97,pto_request
vacation request information,97,pto_request
vacation request please,97,pto_request
how can i increase my credit score,28,improve_credit_score
how can i raise my credit score,28,improve_credit_score
how can i contribute to my credit score,28,improve_credit_score
how is it possible to get a better credit score,28,improve_credit_score
how can i up my credit score,28,improve_credit_score
can you explain to me how i might boost my credit score,28,improve_credit_score
my credit score stinks but i don't know how to improve it,28,improve_credit_score
what preventative measures can i take to avoid a low credit score,28,improve_credit_score
how can i keep my credit score from falling,28,improve_credit_score
give me some ideas for boosting my credit score,28,improve_credit_score
how can i prevent my credit score from dropping,28,improve_credit_score
what steps can i take to build my credit score,28,improve_credit_score
give me some tips on building up my credit score,28,improve_credit_score
how can i rehabilitate my poor credit score,28,improve_credit_score
give me some ideas of how to avoid my credit score lowering,28,improve_credit_score
give me tips on improving my credit score,28,improve_credit_score
what steps should i take if i want to ensure my credit score doesn't drop,28,improve_credit_score
can you tell me some strategies for raising my credit score,28,improve_credit_score
i want to know how i can build up a good credit score,28,improve_credit_score
"""what's the method to improve credit score",28,improve_credit_score
"""which is the best way to improve the credit score",28,improve_credit_score
"""which could be improve the credit score",28,improve_credit_score
"""when the credit score improve",28,improve_credit_score
"""where is improve the credit score",28,improve_credit_score
it is damaging to my credit score if i miss one credit card payment,28,improve_credit_score
i have a revolving store card and defaulted so will my fico score be affected,28,improve_credit_score
will my fico score decrease if i increase my student loan debt,28,improve_credit_score
if i lose my job will my credit score go down,28,improve_credit_score
can i hurt my credit rating if i open several credit cards in a short time frame,28,improve_credit_score
will only having five late payments really make my credit bad,28,improve_credit_score
name unusual facts about the circus,129,fun_fact
i need interesting baseball trivia from the nineteen eighties,129,fun_fact
tell me a fun fact about cars,129,fun_fact
give me a fun fact about kangaroo,129,fun_fact
give me a fun fact about koala,129,fun_fact
give me a fun fact about dolphin,129,fun_fact
what is some trivia about frog,129,fun_fact
tell me fun facts of today,129,fun_fact
give me something interesting about stars,129,fun_fact
what is some trivia question about coffee,129,fun_fact
tell me some trivia about sweat,129,fun_fact
tell me some trivia about dolphin,129,fun_fact
what is some trivia about the weather,129,fun_fact
give me a fun fact about komodo dragon,129,fun_fact
give me a amusing fact about wolf,129,fun_fact
